samples	cluster	frac_cluster	max_frac	analysis_type	K
NIC269	A	0.353947	0.353947	GATK-STRELKA_Intersection	4
NIC266	A	0.296302	0.42195	GATK-STRELKA_Intersection	4
WN2001	A	0.427993	0.427993	GATK-STRELKA_Intersection	4
JU778	A	0.444398	0.444398	GATK-STRELKA_Intersection	4
JU782	A	0.273608	0.462635	GATK-STRELKA_Intersection	4
EG4725	A	0.487165	0.487165	GATK-STRELKA_Intersection	4
JU1808	A	0.485838	0.493252	GATK-STRELKA_Intersection	4
NIC2	A	0.503237	0.503237	GATK-STRELKA_Intersection	4
JU3166	A	0.503318	0.503318	GATK-STRELKA_Intersection	4
JU2534	A	0.50354	0.50354	GATK-STRELKA_Intersection	4
NIC526	A	0.505681	0.505681	GATK-STRELKA_Intersection	4
CX11262	A	0.506751	0.506751	GATK-STRELKA_Intersection	4
MY920	A	0.51076	0.51076	GATK-STRELKA_Intersection	4
JU1440	A	0.515734	0.515734	GATK-STRELKA_Intersection	4
JU2001	A	0.119021	0.515864	GATK-STRELKA_Intersection	4
JU1400	A	0.523536	0.523536	GATK-STRELKA_Intersection	4
ECA928	A	0.476005	0.523975	GATK-STRELKA_Intersection	4
JU3169	A	0.455437	0.525583	GATK-STRELKA_Intersection	4
NIC1	A	0.527809	0.527809	GATK-STRELKA_Intersection	4
NIC166	A	0.471437	0.528543	GATK-STRELKA_Intersection	4
NIC3	A	0.528798	0.528798	GATK-STRELKA_Intersection	4
JU2586	A	0.530305	0.530305	GATK-STRELKA_Intersection	4
JU1652	A	0.414305	0.537066	GATK-STRELKA_Intersection	4
NIC207	A	0.460009	0.539971	GATK-STRELKA_Intersection	4
JU2907	A	0.459618	0.540362	GATK-STRELKA_Intersection	4
JU2879	A	0.459511	0.540461	GATK-STRELKA_Intersection	4
CX11264	A	0.458653	0.541327	GATK-STRELKA_Intersection	4
PX179	A	0.544647	0.544647	GATK-STRELKA_Intersection	4
QG2846	A	0.455301	0.544679	GATK-STRELKA_Intersection	4
EG4724	A	0.546386	0.546386	GATK-STRELKA_Intersection	4
JU3134	A	0.548187	0.548187	GATK-STRELKA_Intersection	4
NIC195	A	0.173241	0.553073	GATK-STRELKA_Intersection	4
WN2002	A	0.446498	0.553482	GATK-STRELKA_Intersection	4
NIC252	A	0.553652	0.553652	GATK-STRELKA_Intersection	4
NIC272	A	0.553694	0.553694	GATK-STRELKA_Intersection	4
JU2841	A	0.423271	0.557558	GATK-STRELKA_Intersection	4
JU3167	A	0.257148	0.561461	GATK-STRELKA_Intersection	4
MY18	A	0.562074	0.562074	GATK-STRELKA_Intersection	4
JU2593	A	0.56269	0.56269	GATK-STRELKA_Intersection	4
EG4349	A	0.56491	0.56491	GATK-STRELKA_Intersection	4
